city,state,zip,grad year,linfield status,birthday,visit_date,entry_term,entry_type,recruiter_initials,offer_status,temp,recruited,visited_hs,commited_to,high_school,hs_address,hs_city,hs_state,hs_zip,hs_county,final_academic_interest,academic_field,acdemic_interest,position,Pos:  ATH,Pos:  DB,Pos:  DBC,Pos:  DBR,Pos:  DBS,Pos:  DE,Pos:  DL,Pos:  DT,Pos:  FB,Pos:  K,Pos:  LB,Pos:  LBS,Pos:  LBW,Pos:  LS,Pos:  OC,Pos:  OG,Pos:  OL,Pos:  OT,Pos:  P,Pos:  QB,Pos:  RB,Pos:  TE,Pos:  WR,height_feet,height_inches,height_in_inches,weight,rank,gpa,gpa_admissions,app_status,app_decision,app_decision_date,decision date no year,apply_date,apply_date_noyear,admissions_academic interest,linfield_grad_year,team_status,finished_football,id_type,recruited_final
,,,2016,,,,,,,,,,,,Sacred Heart Preparatory Sch,150 Valparaiso Ave,Atherton,CA,94027,San Mateo County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2017,,,,,,,,,,,,Sacred Heart Preparatory Sch,150 Valparaiso Ave,Atherton,CA,94027,San Mateo County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,10,70,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2017,,,,,,,,,,,,Sacred Heart Preparatory Sch,150 Valparaiso Ave,Atherton,CA,94027,San Mateo County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,11,71,190,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2023,,3/25/05,,,,WH,,,,,,Sacred Heart Preparatory Sch,150 Valparaiso Ave,Atherton,CA,94027,San Mateo County,Pre-Engineering,Engineering,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,6,2,74,180,1,null,,,,,,,,Pre-Engineering,null,null,null,recruit,TRUE
,,,2016,,,,,,GM,,,,,,Saddle Back CC,,,,,#N/A,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,,,0,185,1,null,,,,,,,,,null,null,null,recruit,TRUE
Scottsdale,AZ,,2017,,,,,,,Want to,,,,,Saguaro High School,6250 N 82nd St,Scottsdale,AZ,85250,Maricopa County,null,null,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,1,73,230,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,,,,,,,,,,,,,Saguaro High School,6250 N 82nd St,Scottsdale,AZ,85250,Maricopa County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,10,70,200,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2017,,,,,,,,,,,,Saint Francis High School,1885 Miramonte Ave,Mountain View,CA,94040,Santa Clara County,null,null,,"DE, LBS",,,,,,DE,,,,,,LBS,,,,,,,,,,,,6,1,73,230,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2017,,,,,,,,,,,,Saint Francis High School,1885 Miramonte Ave,Mountain View,CA,94040,Santa Clara County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,3,75,220,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2017,,,,,,,Want to,,,,,Saint Francis High School,1885 Miramonte Ave,Mountain View,CA,94040,Santa Clara County,null,null,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,6,0,72,165,1,null,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2015,,,,,,,,,,,,Saint Louis School,3142 Waialae Ave,Honolulu,HI,96816,Honolulu County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,5,10,70,251,1,null,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2017,,,,,,,,,,,,Saint Louis School,3142 Waialae Ave,Honolulu,HI,96816,Honolulu County,null,null,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,6,0,72,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
Vallejo,Ca,94590,2016,,,,,,,,,,,,Salesian College Preparatory,2851 Salesian Ave,Richmond,CA,94804,Contra Costa County,null,null,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,6,0,72,175,1,null,,,,,,,,,null,null,null,recruit,TRUE
Salinas,Ca,93908,2016,,,,,,,,,,,,Salinas High School,726 S Main St,Salinas,CA,93901,Monterey County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,8,68,185,1,null,,,,,,,,,null,null,null,recruit,TRUE
Salinas,CA,93908,2018,,,,,,PR,,,,,,Salinas High School,726 S Main St,Salinas,CA,93901,Monterey County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,11,71,193,1,null,,,,,,,,,null,null,null,recruit,TRUE
Gresham,OR,97080,2020,Out,,,,,BE,Sent Graphic,Warm,,,,Sam Barlow High School,5105 Se 302nd Ave,Gresham,OR,97080,Multnomah County,Business,Business,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,5,77,320,1,null,,,,,,,,Business,null,null,null,recruit,TRUE
,OR,,2023,,,,,,JS,Sent Graphic,,,,,Sam Barlow High School,5105 Se 302nd Ave,Gresham,OR,97080,Multnomah County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,6,0,72,200,1,null,,,,,,,,,null,null,null,recruit,TRUE
San Clemente,CA,92673,2018,,9/20/99,,,,PR,,,,TRUE,,San Clemente High School,700 Avenida Pico,San Clemente,CA,92673,Orange County,Pre-Medicine,Sciences,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,,,0,,1,null,,,,,,,,Pre-Medicine,null,null,null,recruit,TRUE
Felton,CA,95018,2017,,9/22/98,,,,,Offered,,,,,San Lorenzo Valley High School,7105 Highway 9,Felton,CA,95018,Santa Cruz County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,5,11,71,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
Sandy,OR,97055,2019,Out,3/5/01,,,,,Sent Both,,,,AFA,Sandy High School,37400 Bell St,Sandy,OR,97055,Clackamas County,null,null,,"DBC, WR",,,DBC,,,,,,,,,,,,,,,,,,,,WR,6,4,76,195,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2023,,,,,,JS,Sent Graphic,,,,,Sandy High School,37400 Bell St,Sandy,OR,97055,Clackamas County,null,null,,"DE, RB",,,,,,DE,,,,,,,,,,,,,,,RB,,,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
Santa Barbara,Ca,93101,2017,?,,,,,AB,Want to,,,,,Santa Barbara Senior High Scho,700 East Anapamu St,Santa Barbara,CA,93103,Santa Barbara County,null,null,,"QB, WR",,,,,,,,,,,,,,,,,,,,QB,,,WR,6,1,73,192,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,PR,,,,,,Santa Margarita Catholic Hs,22062 Antonio Pkwy,Rsm,CA,92688,Orange County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,5,11,71,215,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,PR,,,,,,Santa Margarita Catholic Hs,22062 Antonio Pkwy,Rsm,CA,92688,Orange County,null,null,,"LB, RB",,,,,,,,,,,LB,,,,,,,,,,RB,,,5,11,71,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,,,,,,,Santana High School,9915 N Magnolia Ave,Santee,CA,92071,San Diego County,null,null,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,2,74,275,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2021,,,,,,,Want to,,,,,Santiam Christian High School,7220 Ne Arnold Ave,Adair Village,OR,97330,Benton County,null,null,,"ATH, RB",ATH,,,,,,,,,,,,,,,,,,,,RB,,,6,1,73,180,1,null,,,,,,,,,null,null,null,recruit,TRUE
Huntington Beach,CA,92648,2017,?,7/6/98,,,,JS;  PR,Offered,,,,,Servite High School,1952 W La Palma Ave,Anaheim,CA,92801,Orange County,null,null,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,1,73,265,1,null,,,,,,,,,null,null,null,recruit,TRUE
Villa Park,CA,92861,2017,,,,,,PR,Want to,,,,,Servite High School,1952 W La Palma Ave,Anaheim,CA,92801,Orange County,null,null,,LBW,,,,,,,,,,,,,LBW,,,,,,,,,,,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2017,,,,,,PR,Want to,,,,,Servite High School,1952 W La Palma Ave,Anaheim,CA,92801,Orange County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
INDIO,CA,92201,2019,?,1/30/01,,,,,,Luke,,,,Shadow Hills High School,39225 Jefferson St,Indio,CA,92203,Riverside County,null,null,,"ATH, RB",ATH,,,,,,,,,,,,,,,,,,,,RB,,,6,1,73,185,1,null,,Awaiting Submission,,,,,,,null,null,null,recruit,TRUE
Sherwood,OR,97140,2021,?,,9/22/20,,,JS,Offered,Luke,,,,Sherwood High School,16956 Sw Meinecke Rd,Sherwood,OR,97140,Washington County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,6,1,73,240,1,null,,,,,,,,,null,null,null,recruit,TRUE
Sherwood,OR,97062,2014,,6/22/95,1/17/14,F14,first year,,,,,TRUE,,Sherwood High School,16956 Sw Meinecke Rd,Sherwood,OR,97140,Washington County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,6,1,73,205,1,null,,,,,,,,,,,FALSE,stopped,TRUE
Simi Valley,Ca,93065,2016,,,,,,,,,,,,Sierra Canyon School,20801 Rinaldi St,Chatsworth,CA,91311,Los Angeles County,null,null,,LBW,,,,,,,,,,,,,LBW,,,,,,,,,,,,,0,203,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2020,,,,,,,Sent Graphic,,,,,Sierra Canyon School,20801 Rinaldi St,Chatsworth,CA,91311,Los Angeles County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,6,0,72,235,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2022,Out,,,,,JS;  PR,Want to,Cold,,,,Silverton High School,1456 Pine St,Silverton,OR,97381,Marion County,null,null,,"DB, WR",,DB,,,,,,,,,,,,,,,,,,,,,WR,6,3,75,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
Saratoga springs,UT,84045,2022,,,,,,,Offered,,,,,Skyridge High School,3000 N Center St,Lehi,UT,84043,Utah County,null,null,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,4,76,305,1,null,,,,,,,,,null,null,null,recruit,TRUE
Vancouver,WA,,2022,,,,,,AB,Want to,,,,,Skyview High School,1300 Nw 139th St,Vancouver,WA,98685,Clark County,null,null,,"DBC, RB",,,DBC,,,,,,,,,,,,,,,,,,RB,,,6,0,72,180,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2017,,,,,,,,,,,,Sonora High School,401 South Palm Street,La Habra,CA,90631,Orange County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,5,77,245,1,null,,,,,,,,,null,null,null,recruit,TRUE
Medford,OR,97501,2018,,,,,,JS,Want to,Cold,Yes,TRUE,,South Medford High School,1551 Cunningham Ave,Medford,OR,97501,Jackson County,Psychology,Liberal Arts,,LBW,,,,,,,,,,,,,LBW,,,,,,,,,,,,,0,,1,null,,,,,,,,Psychology,null,null,null,recruit,TRUE
,OR,,2015,,,1/17/15,,,,,,,,,South Salem Senior High School,1910 Church St Se,Salem,OR,97302,Marion County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,1,73,180,1,null,,,,,,,,,null,null,null,recruit,TRUE
Salem,OR,97306,2017,,12/29/98,9/10/16,,,JS,Offered,,,,,South Salem Senior High School,1910 Church St Se,Salem,OR,97302,Marion County,null,null,,OC,,,,,,,,,,,,,,,OC,,,,,,,,,6,1,73,270,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2016,,,,,,,,,,,,South Salem Senior High School,1910 Church St Se,Salem,OR,97302,Marion County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,2,74,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2022,Out,,,,,JS,Offered,Cold,,,,Southridge High School,9625 Sw 125th Ave,Beaverton,OR,97008,Washington County,null,null,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,3,75,260,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,,,,,,,St. Augustine,,,,,#N/A,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,3,75,230,1,null,,,,,,,,,null,null,null,recruit,TRUE
Ventura,CA,93001,2014,,null,2/28/14,F14,first year,,,,,TRUE,,St. Bonaventure High School,3167 Telegraph Rd,Ventura,CA,93003,Ventura County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,null,null,#VALUE!,null,1,null,,,,,,,,,2018,,TRUE,alum,TRUE
Santa Maria,CA,93455,2017,,,,,,,,,,,,St. Joseph,,,,,#N/A,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,5,11,71,185,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,AB,,,,,,Stanwood High School,7400-272nd St Nw,Stanwood,WA,98292,Snohomish County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,5,77,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
Houston,TX,,2023,,,,,,WH,Sent Graphic,,,,,Stratford High School,14555 Fern,Houston,TX,77079,Harris County,Kinesiology ,Exercise Science,Kinesiology,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,6,66,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,AB,,,,,,Summit High School,43330 Palm Royale Dr,La Quinta,CA,92253,Riverside County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,4,76,190,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2016,,,,,,,,,,,,Summit High School,2855 Nw Clearwater Dr,Bend,OR,97701,Deschutes County,null,null,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,8,80,240,1,null,,,,,,,,,null,null,null,recruit,TRUE
Sumner,WA,,2017,,,,,,AB,Want to,,,,,Sumner High School,1707 Main St,Sumner,WA,98390,Pierce County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,2,74,190,1,null,,,,,,,,,null,null,null,recruit,TRUE
Portland,OR,,2018,Many,4/21/00,2/23/18,,,JS,Want to,Cold,Yes,TRUE,,Sunset High School,13840 Nw Cornell Rd,Portland,OR,97229,Washington County,null,null,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,6,0,72,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2016,,,,,,,,,,,,Tahoma Senior High School,23499 Se Tahoma Way,Maple Valley,WA,98038,King County,null,null,,"DE, QB",,,,,,DE,,,,,,,,,,,,,,QB,,,,6,3,75,218,1,null,,,,,,,,,null,null,null,recruit,TRUE
Lake Elsinore,CA,,,,,,,,,,,,,,Temescal Canyon High School,28755 El Toro Rd,Lake Elsinore,CA,92532,Riverside County,null,null,,"LBW, RB",,,,,,,,,,,,,LBW,,,,,,,,RB,,,6,2,74,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2017,,,,,,JS;  PR,Want to,,,,,Tesoro High School,1 Tesoro Creek Rd,Rcho Sta Marg,CA,92688,Orange County,null,null,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,3,75,285,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2017,Many,,,,,PR,Want to,,,,,Tesoro High School,1 Tesoro Creek Rd,Rcho Sta Marg,CA,92688,Orange County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,,,0,185,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2017,,,,,,PR,Want to,,,,,Tesoro High School,1 Tesoro Creek Rd,Rcho Sta Marg,CA,92688,Orange County,null,null,,"DE, LBS",,,,,,DE,,,,,,LBS,,,,,,,,,,,,6,3,75,225,1,null,,,,,,,,,null,null,null,recruit,TRUE
San Jose,Ca,95130,2016,,,,,,,,,,,,The Kings Academy,562 N Britton Ave,Sunnyvale,CA,94085,Santa Clara County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,6,2,74,230,1,null,,,,,,,,,null,null,null,recruit,TRUE
Springfield,OR,97478,2017,,5/4/99,12/12/20,S20,transfer,,,,,TRUE,,Thurston High School,333 58th St,Springfield,OR,97478,Lane County,Business,Business,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,9,69,185,1,null,,,,,,,,,,,FALSE,current,TRUE
Tigard,OR,97223,2022,Out,,1/22/22,,,JS,Offered,Luke,,,,Tigard Senior High School,9000 Sw Durham Rd,Tigard,OR,97224,Washington County,null,null,,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,4,76,255,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2020,Out,7/25/01,,,,JS,,,,,,Tigard Senior High School,9000 Sw Durham Rd,Tigard,OR,97224,Washington County,Religious Studies,Liberal Arts,,"ATH, DB, LB, RB",ATH,DB,,,,,,,,,LB,,,,,,,,,,RB,,,5,8,68,180,1,null,,,,,,,,Religious Studies,null,null,null,recruit,TRUE
,ID,,2020,,,,,,,,,,,,Timberline High School,701 E Boise Ave,Boise,ID,83706,Ada County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,3,75,200,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2021,,,,,,AB;  GM,Want to,,,,,Timberline High School,6120 Mullen Rd Se,Lacey,WA,98503,Thurston County,null,null,,"ATH, RB",ATH,,,,,,,,,,,,,,,,,,,,RB,,,5,11,71,190,1,null,,,,,,,,,null,null,null,recruit,TRUE
Lacey,WA,,,,,,,,TF,,,,,,Timberline High School,6120 Mullen Rd Se,Lacey,WA,98503,Thurston County,null,null,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,6,2,74,,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2016,,,,,,,,,,,,Timberline High School,6120 Mullen Rd Se,Lacey,WA,98503,Thurston County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,6,1,73,220,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2015,,,,,,GM,,,,,,Todd Beamer High School,35999 16th Ave S,Federal Way,WA,98003,King County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,5,10,70,195,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,,,,,,,Toledo High School,Po Box 820,Toledo,WA,98591,Lewis County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,3,75,250,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,PR,,,,,,Trabuco Hills High School,27501 Mustang Run,Mission Viejo,CA,92691,Orange County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,4,76,230,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2022,Out,,,,,JS,Offered,Luke,,,,Tualatin High School,22300 Sw Boones Ferry Rd,Tualatin,OR,97062,Washington County,null,null,,"DE, LB, TE",,,,,,DE,,,,,LB,,,,,,,,,,,TE,,6,5,77,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2023,,,10/16/21,,,JS,,,,,,Tualatin High School,22300 Sw Boones Ferry Rd,Tualatin,OR,97062,Washington County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,4,76,185,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2023,,,,,,,Want to,,,,,Tualatin High School,22300 Sw Boones Ferry Rd,Tualatin,OR,97062,Washington County,null,null,,"RB, WR",,,,,,,,,,,,,,,,,,,,,RB,,WR,5,9,69,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
Tumwater,WA,98501,2017,,4/30/99,,,,,,,,,,Tumwater High School,700 Israel Road Southwest,Tumwater,WA,98501,Thurston County,null,null,,"RB, WR",,,,,,,,,,,,,,,,,,,,,RB,,WR,5,11,71,195,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2020,,,,,,,,,,,,Tumwater High School,700 Israel Road Southwest,Tumwater,WA,98501,Thurston County,null,null,,DBC,,,DBC,,,,,,,,,,,,,,,,,,,,,6,1,73,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2021,,,,,,AB;  GM,,,,,,Tumwater High School,700 Israel Road Southwest,Tumwater,WA,98501,Thurston County,null,null,,"ATH, RB, WR",ATH,,,,,,,,,,,,,,,,,,,,RB,,WR,5,11,71,185,1,null,,,,,,,,,null,null,null,recruit,TRUE
,UT,,2019,,,,,,,,Cold,,,,Uintah High School,1880 W 500 N,Vernal,UT,84078,Uintah County,null,null,,OT,,,,,,,,,,,,,,,,,,OT,,,,,,6,6,78,315,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,PR,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,null,null,,FB,,,,,,,,,FB,,,,,,,,,,,,,,,5,11,71,,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,PR,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,null,null,,"DL, OL",,,,,,,DL,,,,,,,,,,OL,,,,,,,6,3,75,290,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,PR,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,null,null,,"DL, OL",,,,,,,DL,,,,,,,,,,OL,,,,,,,6,5,77,315,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,PR,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,null,null,,"DL, OL",,,,,,,DL,,,,,,,,,,OL,,,,,,,6,1,73,285,1,null,,,,,,,,,null,null,null,recruit,TRUE
,WA,,2017,,,,,,JS;  PR,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,3,75,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
Vancouver,WA,,2017,,,,,,JS;  PR,,,,,,Union High School,6201 Nw Friberg Strunk St,Camas,WA,98607,Clark County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,4,76,210,1,null,,,,,,,,,null,null,null,recruit,TRUE
Rancho Cucamonga,CA,91730,2020,Out,3/18/02,,,,,Sent Graphic,,,,,Upland High School,565 West 11th Street,Upland,CA,91786,San Bernardino County,null,null,,DBS,,,,,DBS,,,,,,,,,,,,,,,,,,,5,11,71,185,1,null,,Awaiting Submission,,,,,,,null,null,null,recruit,TRUE
Valencia,CA,91350,2019,,,,,,,,,,,,Valencia High School,27801 Dickason Dr,Valencia,CA,91355,Los Angeles County,null,null,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,6,2,74,200,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2016,,,,,,PR,,,,,,VALENCIA PLACENTIA,,,,,#N/A,null,null,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,6,3,75,200,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2019,,5/29/00,1/18/19,,,JS,Send Offer,Cold,,,SOU,Valley Catholic High School,4275 Sw 148th Ave,Aloha,OR,97078,Washington County,Business,Business,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,6,2,74,180,1,null,,,,,,,,Business,null,null,null,recruit,TRUE
Gaston,OR,97119,2020,Out,,,,,BE,Sent Graphic,,,,,Valley Catholic High School,4275 Sw 148th Ave,Aloha,OR,97078,Washington County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,2,74,195,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,,,,,,,,,,,,,Ventura High School,2 N Catalina Street,Ventura,CA,93001,Ventura County,null,null,,RB,,,,,,,,,,,,,,,,,,,,,RB,,,6,0,72,175,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2015,,,,,,,,,,,,Ventura High School,2 N Catalina Street,Ventura,CA,93001,Ventura County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2015,,,,,,,,,,,,Villa Park High School,18042 Taft Ave.,Villa Park,CA,92861,Orange County,null,null,,LBS,,,,,,,,,,,,LBS,,,,,,,,,,,,6,3,75,220,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2018,,,,,,PR,,,Yes,TRUE,,Villa Park High School,18042 Taft Ave,Villa Park,CA,92861,Orange County,null,null,,"DBS, WR",,,,,DBS,,,,,,,,,,,,,,,,,,WR,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
,CA,,2019,,,,,,PR,,Cold,,,,Villa Park High School,18042 Taft Ave,Villa Park,CA,92861,Orange County,null,null,,LB,,,,,,,,,,,LB,,,,,,,,,,,,,5,11,71,205,1,null,,,,,,,,,null,null,null,recruit,TRUE
Folsom,CA,95630,2019,Out,,,,,AB,,Cold,,,San Mateo,Vista Del Lago High School,15150 Lasselle St,Moreno Valley,CA,92551,Riverside County,null,null,,QB,,,,,,,,,,,,,,,,,,,,QB,,,,6,3,75,170,1,null,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2017,,,,,,,,,,,,Waipahu High School,94-1211 Farrington Hwy,Waipahu,HI,96797,Honolulu County,null,null,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,6,2,74,285,1,null,,,,,,,,,null,null,null,recruit,TRUE
,HI,,2020,,,,,,,,,,TRUE,,Waipahu High School,94-1211 Farrington Hwy,Waipahu,HI,96797,Honolulu County,Undecided,Undecided,art,DT,,,,,,,,DT,,,,,,,,,,,,,,,,6,4,76,275,1,null,,,,,,,,Undecided,null,null,null,recruit,TRUE
,,,2015,,,3/13/15,,,AB,,,,,,West Albany High School,1130 Queen Ave Sw,Albany,OR,97321,Linn County,null,null,,"DE, TE",,,,,,DE,,,,,,,,,,,,,,,,TE,,6,4,76,210,1,null,,,,,,,,,null,null,null,recruit,TRUE
,,,2015,,,,,,AB,,,,,,West Albany High School,1130 Queen Ave Sw,Albany,OR,97321,Linn County,null,null,,"DBS, RB",,,,,DBS,,,,,,,,,,,,,,,,RB,,,5,11,71,180,1,null,,,,,,,,,null,null,null,recruit,TRUE
,OR,,2023,,,,,,JL,,,,,,West Albany High School,1130 Queen Ave Sw,Albany,OR,97321,Linn County,null,null,,"DE, TE",,,,,,DE,,,,,,,,,,,,,,,,TE,,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
West Linn,OR,97068,2017,,9/7/98,,,,JS,Want to,,,,,West Linn High School,5464 W A St,West Linn,OR,97068,Clackamas County,null,null,,DE,,,,,,DE,,,,,,,,,,,,,,,,,,6,4,76,225,1,null,,,,,,,,,null,null,null,recruit,TRUE
West Linn,OR,97068,2017,,11/13/98,,,,JS,Want to,,,,,West Linn High School,5464 W A St,West Linn,OR,97068,Clackamas County,null,null,,WR,,,,,,,,,,,,,,,,,,,,,,,WR,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
West Linn,OR,,2017,,,,,,JS,,,,,,West Linn High School,5464 W A St,West Linn,OR,97068,Clackamas County,null,null,,OG,,,,,,,,,,,,,,,,OG,,,,,,,,,,0,,1,null,,,,,,,,,null,null,null,recruit,TRUE
